sqno,strd_yr,stdmt,date,stty_infcd_tpcd,diss_nm,diag_nm,whol_ptnt_cnt,frgn_ptnt_cnt,adm_ptnt_cnt,frgn_ptnt_rate,adm_ptnt_rate
14823,2022,6,2022년 06월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 기타 호흡기결핵,1,1,0,100.0,0.0
16277,2022,6,2022년 06월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 있는 일차호흡기결핵,1,1,0,100.0,0.0
6259,2022,6,2022년 06월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 있는 일차호흡기결핵,1,1,0,100.0,0.0
6258,2022,6,2022년 06월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 있는 상세불명의 호흡기결핵,1,1,0,100.0,0.0
6256,2022,6,2022년 06월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 기타 호흡기결핵,1,1,0,100.0,0.0
14946,2022,6,2022년 06월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 있는 상세불명의 호흡기결핵,1,1,0,100.0,0.0
15154,2022,7,2022년 07월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 기타 호흡기결핵,1,1,0,100.0,0.0
6317,2022,7,2022년 07월 01일,2,결핵,심장의 결핵,1,1,0,100.0,0.0
6315,2022,7,2022년 07월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 기타 호흡기결핵,1,1,0,100.0,0.0
15241,2022,7,2022년 07월 01일,2,결핵,부신의 결핵(E35.1*),1,1,0,100.0,0.0
6293,2022,7,2022년 07월 01일,2,결핵,결핵성 수막염(G01*),1,1,0,100.0,0.0
6303,2022,7,2022년 07월 01일,2,결핵,비뇨생식계통의 상세불명 결핵,1,1,0,100.0,0.0
15817,2022,7,2022년 07월 01일,2,결핵,상세불명의 좁쌀결핵,1,1,0,100.0,0.0
6384,2022,8,2022년 08월 01일,2,결핵,피부 및 피하조직의 결핵,1,1,0,100.0,0.0
16507,2022,8,2022년 08월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 있는 일차호흡기결핵,1,1,0,100.0,0.0
16446,2022,8,2022년 08월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 일차호흡기결핵,1,1,0,100.0,0.0
6378,2022,8,2022년 08월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 흉막염,1,1,0,100.0,0.0
6379,2022,8,2022년 08월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 기타 호흡기결핵,1,1,0,100.0,0.0
6380,2022,8,2022년 08월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 일차호흡기결핵,1,1,0,100.0,0.0
6381,2022,8,2022년 08월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 있는 상세불명의 호흡기결핵,1,1,0,100.0,0.0
6382,2022,8,2022년 08월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 있는 일차호흡기결핵,1,1,0,100.0,0.0
6383,2022,8,2022년 08월 01일,2,결핵,심장의 결핵,1,1,0,100.0,0.0
14741,2022,8,2022년 08월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 있는 상세불명의 호흡기결핵,1,1,0,100.0,0.0
15856,2022,8,2022년 08월 01일,2,결핵,척추의 결핵(M49.0*),1,1,0,100.0,0.0
15747,2022,8,2022년 08월 01일,2,결핵,심장의 결핵,1,1,0,100.0,0.0
15278,2022,8,2022년 08월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 기타 호흡기결핵,1,1,0,100.0,0.0
6427,2022,9,2022년 09월 01일,2,결핵,기타 관절의 결핵성 관절염(M01.1*),1,1,0,100.0,0.0
6448,2022,9,2022년 09월 01일,2,결핵,척추의 결핵(M49.0*),1,1,0,100.0,0.0
6421,2022,9,2022년 09월 01일,2,결핵,결핵성 복막염(K67.3*),1,1,0,100.0,0.0
6438,2022,9,2022년 09월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 기타 호흡기결핵,1,1,0,100.0,0.0
6443,2022,9,2022년 09월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 상세불명의 호흡기결핵,1,1,0,100.0,0.0
6444,2022,9,2022년 09월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 있는 상세불명의 호흡기결핵,1,1,0,100.0,0.0
6445,2022,9,2022년 09월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 있는 일차호흡기결핵,1,1,0,100.0,0.0
6446,2022,9,2022년 09월 01일,2,결핵,세균학적으로나 조직학적으로 확인되지 않은 호흡기결핵,1,1,0,100.0,0.0
15341,2022,9,2022년 09월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 기타 호흡기결핵,1,1,0,100.0,0.0
16286,2022,9,2022년 09월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 있는 일차호흡기결핵,1,1,0,100.0,0.0
6447,2022,9,2022년 09월 01일,2,결핵,여성생식기관의 결핵,1,1,0,100.0,0.0
16599,2022,9,2022년 09월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 있는 상세불명의 호흡기결핵,1,1,0,100.0,0.0
15287,2022,9,2022년 09월 01일,2,결핵,세균학적으로나 조직학적으로 확인되지 않은 호흡기결핵,1,1,0,100.0,0.0
15339,2022,9,2022년 09월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 흉막염,1,1,0,100.0,0.0
15844,2022,9,2022년 09월 01일,2,결핵,여성생식기관의 결핵,1,1,0,100.0,0.0
15786,2022,9,2022년 09월 01일,2,결핵,부신의 결핵(E35.1*),1,1,0,100.0,0.0
15849,2022,9,2022년 09월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 기타 호흡기결핵,1,1,0,100.0,0.0
6492,2022,10,2022년 10월 01일,2,결핵,다약제내성 결핵,1,1,0,100.0,0.0
6493,2022,10,2022년 10월 01일,2,결핵,방광의 결핵(N33.0*),1,1,0,100.0,0.0
6507,2022,10,2022년 10월 01일,2,결핵,세균학적으로나 조직학적으로 확인되지 않은 호흡기결핵,1,1,0,100.0,0.0
15858,2022,10,2022년 10월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 흉막염,1,1,0,100.0,0.0
15030,2022,10,2022년 10월 01일,2,결핵,세균학적으로나 조직학적으로 확인되지 않은 호흡기결핵,1,1,0,100.0,0.0
16392,2022,10,2022년 10월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 기타 호흡기결핵,1,1,0,100.0,0.0
6569,2022,11,2022년 11월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 결핵성 흉막염,1,1,0,100.0,0.0
6560,2022,11,2022년 11월 01일,2,결핵,기타 관절의 결핵성 관절염(M01.1*),1,1,0,100.0,0.0
6519,2022,11,2022년 11월 01일,2,결핵,심장의 결핵,1,1,0,100.0,0.0
15381,2022,11,2022년 11월 01일,2,결핵,심장의 결핵,1,1,0,100.0,0.0
14851,2022,11,2022년 11월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 흉막염,1,1,0,100.0,0.0
15694,2022,11,2022년 11월 01일,2,결핵,부신의 결핵(E35.1*),1,1,0,100.0,0.0
15175,2022,11,2022년 11월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 기타 호흡기결핵,1,1,0,100.0,0.0
6581,2022,11,2022년 11월 01일,2,결핵,척추의 결핵(M49.0*),1,1,0,100.0,0.0
6647,2022,12,2022년 12월 01일,2,결핵,신장의 결핵(N29.1*),1,1,0,100.0,0.0
6652,2022,12,2022년 12월 01일,2,결핵,척추의 결핵(M49.0*),1,1,0,100.0,0.0
16195,2022,12,2022년 12월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 일차호흡기결핵,1,1,0,100.0,0.0
6646,2022,12,2022년 12월 01일,2,결핵,세균학적으로나 조직학적으로 확인되지 않은 호흡기결핵,1,1,0,100.0,0.0
6645,2022,12,2022년 12월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 기타 호흡기결핵,1,1,0,100.0,0.0
6625,2022,12,2022년 12월 01일,2,결핵,결핵성 복막염(K67.3*),1,1,0,100.0,0.0
14995,2022,12,2022년 12월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 기타 호흡기결핵,1,1,0,100.0,0.0
15704,2022,12,2022년 12월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 흉막염,1,1,0,100.0,0.0
16397,2022,12,2022년 12월 01일,2,결핵,세균학적으로나 조직학적으로 확인되지 않은 호흡기결핵,1,1,0,100.0,0.0
6641,2022,12,2022년 12월 01일,2,결핵,"세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 후두, 기관 및 기관지 결핵",1,1,0,100.0,0.0
6632,2022,12,2022년 12월 01일,2,결핵,방광의 결핵(N33.0*),1,1,0,100.0,0.0
6631,2022,12,2022년 12월 01일,2,결핵,다약제내성 결핵,1,1,0,100.0,0.0
6627,2022,12,2022년 12월 01일,2,결핵,결핵성 장염(K93.0*),1,1,0,100.0,0.0
5266,2020,1,2020년 01월 01일,2,결핵,신장의 결핵(N29.1*),1,1,0,100.0,0.0
5265,2020,1,2020년 01월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 상세불명의 호흡기결핵,1,1,0,100.0,0.0
5282,2020,2,2020년 02월 01일,2,결핵,결핵성 수막염(G01*),1,1,0,100.0,0.0
5283,2020,2,2020년 02월 01일,2,결핵,결핵성 장염(K93.0*),1,1,0,100.0,0.0
5285,2020,2,2020년 02월 01일,2,결핵,기타 관절의 결핵성 관절염(M01.1*),1,1,0,100.0,0.0
5289,2020,2,2020년 02월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 상세불명의 호흡기결핵,1,1,0,100.0,0.0
5290,2020,2,2020년 02월 01일,2,결핵,신장의 결핵(N29.1*),1,1,0,100.0,0.0
5291,2020,2,2020년 02월 01일,2,결핵,심장의 결핵,1,1,0,100.0,0.0
5312,2020,3,2020년 03월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 상세불명의 호흡기결핵,1,1,0,100.0,0.0
5334,2020,4,2020년 04월 01일,2,결핵,신장의 결핵(N29.1*),1,1,0,100.0,0.0
5352,2020,5,2020년 05월 01일,2,결핵,결핵성 수막염(G01*),1,1,0,100.0,0.0
5353,2020,5,2020년 05월 01일,2,결핵,결핵성 장염(K93.0*),1,1,0,100.0,0.0
5359,2020,5,2020년 05월 01일,2,결핵,신장의 결핵(N29.1*),1,1,0,100.0,0.0
5376,2020,6,2020년 06월 01일,2,결핵,방광의 결핵(N33.0*),1,1,0,100.0,0.0
5381,2020,6,2020년 06월 01일,2,결핵,신장의 결핵(N29.1*),1,1,0,100.0,0.0
5399,2020,7,2020년 07월 01일,2,결핵,결핵성 수막염(G01*),1,1,0,100.0,0.0
5408,2020,7,2020년 07월 01일,2,결핵,신장의 결핵(N29.1*),1,1,0,100.0,0.0
5430,2020,8,2020년 08월 01일,2,결핵,방광의 결핵(N33.0*),1,1,0,100.0,0.0
5435,2020,8,2020년 08월 01일,2,결핵,신장의 결핵(N29.1*),1,1,0,100.0,0.0
5460,2020,9,2020년 09월 01일,2,결핵,방광의 결핵(N33.0*),1,1,0,100.0,0.0
5467,2020,9,2020년 09월 01일,2,결핵,척추의 결핵(M49.0*),1,1,0,100.0,0.0
5457,2020,9,2020년 09월 01일,2,결핵,결핵성 장염(K93.0*),1,1,0,100.0,0.0
5456,2020,9,2020년 09월 01일,2,결핵,결핵성 수막염(G01*),1,1,0,100.0,0.0
5490,2020,10,2020년 10월 01일,2,결핵,척추의 결핵(M49.0*),1,1,0,100.0,0.0
5486,2020,10,2020년 10월 01일,2,결핵,방광의 결핵(N33.0*),1,1,0,100.0,0.0
5489,2020,10,2020년 10월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 기타 호흡기결핵,1,1,0,100.0,0.0
5509,2020,11,2020년 11월 01일,2,결핵,방광의 결핵(N33.0*),1,1,0,100.0,0.0
5513,2020,11,2020년 11월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 호흡기결핵,1,1,0,100.0,0.0
5515,2020,11,2020년 11월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 상세불명의 호흡기결핵,1,1,0,100.0,0.0
5514,2020,11,2020년 11월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 기타 호흡기결핵,1,1,0,100.0,0.0
5517,2020,11,2020년 11월 01일,2,결핵,심장의 결핵,1,1,0,100.0,0.0
5516,2020,11,2020년 11월 01일,2,결핵,신장의 결핵(N29.1*),1,1,0,100.0,0.0
5545,2020,12,2020년 12월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 기타 호흡기결핵,1,1,0,100.0,0.0
5547,2020,12,2020년 12월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 있는 결핵성 흉막염,1,1,0,100.0,0.0
5578,2021,1,2021년 01월 01일,2,결핵,피부 및 피하조직의 결핵,1,1,0,100.0,0.0
5575,2021,1,2021년 01월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 상세불명의 호흡기결핵,1,1,0,100.0,0.0
5567,2021,1,2021년 01월 01일,2,결핵,기타 기관의 결핵,1,1,0,100.0,0.0
5573,2021,1,2021년 01월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 호흡기결핵,1,1,0,100.0,0.0
5574,2021,1,2021년 01월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 기타 호흡기결핵,1,1,0,100.0,0.0
5609,2021,2,2021년 02월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 기타 호흡기결핵,1,1,0,100.0,0.0
5612,2021,2,2021년 02월 01일,2,결핵,척추의 결핵(M49.0*),1,1,0,100.0,0.0
5611,2021,2,2021년 02월 01일,2,결핵,신장의 결핵(N29.1*),1,1,0,100.0,0.0
5607,2021,2,2021년 02월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 호흡기결핵,1,1,0,100.0,0.0
5603,2021,2,2021년 02월 01일,2,결핵,비뇨생식계통의 상세불명 결핵,1,1,0,100.0,0.0
5637,2021,3,2021년 03월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 결핵성 흉막염,1,1,0,100.0,0.0
5635,2021,3,2021년 03월 01일,2,결핵,비뇨생식계통의 상세불명 결핵,1,1,0,100.0,0.0
5628,2021,3,2021년 03월 01일,2,결핵,결핵성 말초림프절병증,1,1,0,100.0,0.0
5642,2021,3,2021년 03월 01일,2,결핵,척추의 결핵(M49.0*),1,1,0,100.0,0.0
5643,2021,3,2021년 03월 01일,2,결핵,피부 및 피하조직의 결핵,1,1,0,100.0,0.0
5631,2021,3,2021년 03월 01일,2,결핵,기타 부위의 결핵,1,1,0,100.0,0.0
5661,2021,4,2021년 04월 01일,2,결핵,결핵성 말초림프절병증,1,1,0,100.0,0.0
5669,2021,4,2021년 04월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 결핵성 흉막염,1,1,0,100.0,0.0
5557,2021,4,2021년 04월 01일,2,결핵,척추의 결핵(M49.0*),1,1,0,100.0,0.0
5704,2021,5,2021년 05월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 기타 호흡기결핵,1,1,0,100.0,0.0
5707,2021,5,2021년 05월 01일,2,결핵,심장의 결핵,1,1,0,100.0,0.0
5706,2021,5,2021년 05월 01일,2,결핵,신장의 결핵(N29.1*),1,1,0,100.0,0.0
5705,2021,5,2021년 05월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 상세불명의 호흡기결핵,1,1,0,100.0,0.0
5739,2021,6,2021년 06월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 상세불명의 호흡기결핵,1,1,0,100.0,0.0
5731,2021,6,2021년 06월 01일,2,결핵,기타 부위의 결핵,1,1,0,100.0,0.0
5727,2021,6,2021년 06월 01일,2,결핵,결핵성 복막염(K67.3*),1,1,0,100.0,0.0
5774,2021,7,2021년 07월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 상세불명의 호흡기결핵,1,1,0,100.0,0.0
5765,2021,7,2021년 07월 01일,2,결핵,기타 부위의 결핵,1,1,0,100.0,0.0
5762,2021,7,2021년 07월 01일,2,결핵,결핵성 복막염(K67.3*),1,1,0,100.0,0.0
5795,2021,8,2021년 08월 01일,2,결핵,결핵성 말초림프절병증,1,1,0,100.0,0.0
5805,2021,8,2021년 08월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 결핵성 흉막염,1,1,0,100.0,0.0
5809,2021,8,2021년 08월 01일,2,결핵,척추의 결핵(M49.0*),1,1,0,100.0,0.0
5843,2021,9,2021년 09월 01일,2,결핵,피부 및 피하조직의 결핵,1,1,0,100.0,0.0
5842,2021,9,2021년 09월 01일,2,결핵,척추의 결핵(M49.0*),1,1,0,100.0,0.0
5832,2021,9,2021년 09월 01일,2,결핵,결핵성 복막염(K67.3*),1,1,0,100.0,0.0
5874,2021,10,2021년 10월 01일,2,결핵,달리 분류되지 않은 소화기관의 결핵,1,1,0,100.0,0.0
5870,2021,10,2021년 10월 01일,2,결핵,결핵성 복막염(K67.3*),1,1,0,100.0,0.0
5921,2021,11,2021년 11월 01일,2,결핵,심장의 결핵,1,1,0,100.0,0.0
5920,2021,11,2021년 11월 01일,2,결핵,신장의 결핵(N29.1*),1,1,0,100.0,0.0
5907,2021,11,2021년 11월 01일,2,결핵,결핵성 복막염(K67.3*),1,1,0,100.0,0.0
5923,2021,11,2021년 11월 01일,2,결핵,피부 및 피하조직의 결핵,1,1,0,100.0,0.0
5964,2021,12,2021년 12월 01일,2,결핵,세균학적으로나 조직학적으로 확인되지 않은 호흡기결핵,1,1,0,100.0,0.0
5965,2021,12,2021년 12월 01일,2,결핵,신장의 결핵(N29.1*),1,1,0,100.0,0.0
5966,2021,12,2021년 12월 01일,2,결핵,척추의 결핵(M49.0*),1,1,0,100.0,0.0
5963,2021,12,2021년 12월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 일차호흡기결핵,1,1,0,100.0,0.0
5962,2021,12,2021년 12월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 흉막염,1,1,0,100.0,0.0
5948,2021,12,2021년 12월 01일,2,결핵,결핵성 복막염(K67.3*),1,1,0,100.0,0.0
5959,2021,12,2021년 12월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 호흡기결핵,1,1,0,100.0,0.0
16052,2023,1,2023년 01월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 흉막염,1,1,0,100.0,0.0
6718,2023,1,2023년 01월 01일,2,결핵,"세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 후두, 기관 및 기관지 결핵",1,1,0,100.0,0.0
6706,2023,1,2023년 01월 01일,2,결핵,다약제내성 결핵,1,1,0,100.0,0.0
6714,2023,1,2023년 01월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 결핵성 흉막염,1,1,0,100.0,0.0
16444,2023,1,2023년 01월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 기타 호흡기결핵,1,1,0,100.0,0.0
6721,2023,1,2023년 01월 01일,2,결핵,세균학적 및 조직학적으로 확인된 공동이 있는 상세불명의 호흡기결핵,1,1,0,100.0,0.0
6727,2023,1,2023년 01월 01일,2,결핵,척추의 결핵(M49.0*),1,1,0,100.0,0.0
6713,2023,1,2023년 01월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 결핵성 흉막염,1,1,0,100.0,0.0
6702,2023,1,2023년 01월 01일,2,결핵,결핵성 장염(K93.0*),1,1,0,100.0,0.0
6700,2023,1,2023년 01월 01일,2,결핵,결핵성 복막염(K67.3*),1,1,0,100.0,0.0
6710,2023,1,2023년 01월 01일,2,결핵,비뇨생식계통의 상세불명 결핵,1,1,0,100.0,0.0
14852,2023,2,2023년 02월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 일차호흡기결핵,1,1,0,100.0,0.0
6793,2023,2,2023년 02월 01일,2,결핵,"장, 복막 및 장간막 림프절의 결핵",1,1,0,100.0,0.0
6781,2023,2,2023년 02월 01일,2,결핵,비뇨생식계통의 상세불명 결핵,1,1,0,100.0,0.0
6785,2023,2,2023년 02월 01일,2,결핵,세균학적 또는 조직학적 확인에 대한 언급이 없는 결핵성 흉막염,1,1,0,100.0,0.0
6775,2023,2,2023년 02월 01일,2,결핵,결핵성 수막염(G01*),1,1,0,100.0,0.0
